"name","title","description","updated"
"7022eng","Deaths; suicide (residents), various themes","Victims of suicide by marital status, method, motives, age and sex
among the Dutch population, absolute figures and per 100 000 persons","2016-07-19T02:00:00"
"81655ENG","Deaths by medical end-of-life decision; age, cause of death ","Deaths by medical end-of-life decision, age and cause of death
 ","2012-07-12T02:00:00"
"83073ENG","Health expenditure; functions and financing for international comparisons","Health accounts; functions and financing, 
with link to Dutch health and social care accounts","2016-05-19T02:00:00"
"83074ENG","Health expenditure; providers and financing for international comparisons","Health Accounts; providers and financing, 
with link to Dutch Health and Social Care Accounts","2016-05-19T02:00:00"
"83072ENG","Health expenditure; providers and functions for international comparisons","Health accounts; providers and functions, 
with link to Dutch health and social care accounts","2016-05-19T02:00:00"
"80511ENG","Practices of health practitioners; finance","Practices of general practitioners, dentists, orthodontists, 
physiotherapists, midwifes and remedial therapists","2016-07-22T02:00:00"
"81071ENG","Persons with dispensed medicines; age and sex","Persons to whom medicines were dispensed by medicine group (ATC), age and
sex in absolute figures and as percentage of the total population","2016-04-15T02:00:00"
"81072ENG","Persons with dispensed medicines; origin and generation","Persons to whom medicines were dispensed by origin/generation, medicine
group, age, sex in absolute figures and as percentage of total population","2016-04-15T02:00:00"
"83005ENG","Health and health care; personal characteristics","Health, chronic disorders, use of health care
sex, age, eduational level, ethnicity, income level","2016-06-16T02:00:00"
"71950eng","Health expectancy; since 1981","Health expectancy, healthy life expectancy, perceived health, physical
limitations, chronic or longstanding morbidity, mental health","2016-08-23T02:00:00"
"83021ENG","Life style and (preventive) health examination; personal characteristics","Smoking, alcohol and drug use, being overweight, physical activity, 
sexual health, nutrition, health examination, giving informal care.","2016-04-13T06:30:00"
"81177eng","Lifestyle, preventive screening; personal characteristics; 2010-2013","Smoking, alcohol consumption, overweight, height, weight, 
contraceptive pill use and preventive screening.","2016-04-05T02:00:00"
"81175eng","Lifestyle, preventive screening; sex,age; 2010-2013","Smoking, alcohol consumption, overweight, height, weight, 
contraceptive pill use, preventive screening, age and sex.","2015-06-25T02:00:00"
"03799eng","Health, lifestyle, use of medical facilities","Medical consumption, health and disorders, physical impediments
and lifestyle by characteristics of the consumer.","2012-01-06T02:00:00"
"7042eng","Use of medical facilities; 1981-2009","Use of medical facilities, visits to the GP, medical specialist, 
dentist, physiotherapist, alternative healers, hospital admissions, ","2011-11-23T02:00:00"
"81505ENG","Wellbeing; alterations in marital status and employment situation,1998/2009","Happiness, satisfaction with life,
Alterations in marital status and employment situation","2012-10-15T02:00:00"
"81628ENG","Health, lifestyle, health care use and supply, causes of death; key figures","Birth, death, life expectancy, health and disease, use of health care 
services, education and labour market, costs of care, care providers","2016-06-30T02:00:00"
"81451ENG","Health care institutions; key figures, finance and personnel","Profit-and-loss account, balance sheet, personnel, hospitals, youth care
nursing homes and home care, mental health care, care for the disabled ","2016-06-14T02:00:00"
"37852eng","Health, lifestyle, health care use and supply, causes of death; from 1900","Health status, lifestyle, use of health care services, 
care supply, (healthy) life expectancy and causes of death","2016-01-18T02:00:00"
"7388eng","Consumer confidence, economic climate and willingness to buy","Consumer confidence, economic climate, willingness to buy, consumers' 
attitudes and expectations.","2016-08-18T06:30:00"
"60046eng","Expenditure brief (level 3); by household characteristics","Average spendable amount, household characteristics and distribution
channels by expenditure of households (level 3)","2011-09-14T02:00:00"
"70076eng","Spending; consumption household","Changes, indices, shares, value of consumption of households 
by type of goods and services.","2016-08-18T06:30:00"
"70017eng","International trade; import and export key figures","Key figures import and export of goods by value; 
classification according to SITC (sections) and countries (groups).","2016-09-12T06:30:00"
"81202eng","International trade; Dutch export specialisation with respect to the EU-15","Balassa-index, share total exports, exports of Ducht products, re-exports
Chapters of the Harmonised System and periods","2015-11-06T02:00:00"
"82007ENG","International trade and transit trade; value and weight, product group","International trade, transport, transit trade
Continents, NSTR chapters, flow types, value and weight","2016-02-11T02:00:00"
"7137eng","International trade; imports and exports, SITC (3 digit), country (groups)","Imports and exports value of goods; according to SITC classification 
(3 digit) and country (groups).","2016-08-31T09:30:00"
"82616ENG","International trade; Imports and exports of services by country, quarter","Imports; exports; services broken down into various types of services
Countries","2016-06-15T02:00:00"
"80414eng","International trade; Imports and exports of services by country, 2003-2013","Imports; exports; services broken down into various types of services
Countries","2014-09-18T02:00:00"
"82605ENG","Imports/exports; change of ownership; volume and price, changes ","Imports and exports of goods
Index figures and changes","2016-09-12T06:30:00"
"82606ENG","Terms of trade in goods, index 2010=100 ","Terms of trade, import price and export price of goods    
Indexfigures, base year 2010=100 and changes","2016-09-12T06:30:00"
"82578ENG","Compensation of employees, economic activity; national accounts","Compensation of employees, wages, labour volumes of employees
economic activities, full-time and part-time jobs","2016-06-24T06:30:00"
"82577ENG","Compensation of employees, quarterly; national accounts","Compensation of employees, wages, jobs (by sex) , fte, hours worked
quarterly, economic activity","2016-08-12T09:30:00"
"81431ENG","Employment; jobs, wages, working hours; key figures","Jobs, working hours and wages broken down by economic activity and cha-
racteristics job, employee and company.","2016-09-15T02:00:00"
"82579ENG","Employment, economic activity, sex; national accounts","Employed persons, jobs, full-time equivalents (fte), hours worked,
economic activity, sex, employees and self-employed persons","2016-06-24T06:30:00"
"81464ENG","Employment; sex, type of employment contract, employee characteristics, cao","Jobs, working hours and wage broken down by men and women, type of 
employment contract, caosector, age and nationality.","2016-09-06T02:00:00"
"81434ENG","Employment;sex,type of employment contract,employee characteristics,SIC2008","Jobs and working hours broken down by economic activity, sex, 
charateristics of employee and job.","2016-09-15T02:00:00"
